NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
CraigSmith,Minnesota Timberwolves,2500000,PF,74,19.7,10.1,3.9,6.9,56.2,0,0,0,2.3,3.4,67.7,3.8,1.1,0.4,0.3,1.4,1,0,17.01,102,2008-2009
D.J.Augustin,Charlotte Bobcats,2208960,PG,72,26.5,11.8,3.7,8.6,43,1.5,3.4,43.9,2.9,3.2,89.3,1.8,3.5,0.6,0,1.7,1,0,14.95,82,2008-2009
DanielGibson,Cleveland Cavaliers,3700000,SG,75,23.9,7.8,2.7,7,39.1,1.4,3.8,38.2,0.9,1.1,76.7,2.1,1.8,0.6,0.2,0.8,0,0,10.1,132,2008-2009
DannyGranger,Indiana Pacers,2329805,SF,67,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6,6.9,87.8,5.1,2.7,1,1.4,2.5,6,0,21.88,5,2008-2009
DerekFisher,Los Angeles Lakers,4700000,PG,82,29.8,9.9,3.6,8.4,42.4,1.5,3.7,39.7,1.3,1.6,84.6,2.3,3.2,1.2,0.1,0.9,1,0,12.15,105,2008-2009
DerrickRose,Chicago Bulls,4822800,PG,81,37,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,3.9,6.3,0.8,0.2,2.5,8,0,16.05,41,2008-2009
DeSaganaDiop,Charlotte Bobcats,5585000,C,75,13.8,2.3,1,2.3,43.3,0,0,0,0.3,0.9,33.3,3.6,0.4,0.4,0.7,0.5,0,0,9.71,180,2008-2009
DirkNowitzki,Dallas Mavericks,18077904,F,81,37.7,25.9,9.6,20,47.9,0.8,2.1,35.9,6,6.7,89,8.4,2.4,0.8,0.8,1.9,26,0,23.2,4,2008-2009
DwightHoward,Orlando Magic,13758000,C,79,35.7,20.6,7.1,12.4,57.2,0,0,0,6.4,10.7,59.4,13.8,1.4,1,2.9,3,63,1,25.44,18,2008-2009
DwyaneWade,Miami Heat,14410581,G,79,38.6,30.2,10.8,22,49.1,1.1,3.5,31.7,7.5,9.8,76.5,5,7.5,2.2,1.3,3.4,20,0,30.46,1,2008-2009
EddieHouse,Boston Celtics,2650000,SG,81,18.3,8.5,3.1,6.9,44.5,1.9,4.2,44.4,0.5,0.7,79.2,1.9,1.1,0.8,0.1,0.7,0,0,15.44,121,2008-2009
EmekaOkafor,Charlotte Bobcats,9537500,C,82,32.8,13.2,5.3,9.4,56.1,0,0,0,2.7,4.5,59.3,10.1,0.6,0.6,1.7,1.8,39,0,18.01,69,2008-2009
EricGordon,LA Clippers,2623200,SG,78,34.3,16.1,5.3,11.6,45.6,1.7,4.3,38.9,3.8,4.5,85.4,2.6,2.8,1,0.4,2.1,0,0,14.98,47,2008-2009
ErickDampier,Dallas Mavericks,11553000,C,80,23,5.7,2.3,3.5,65,0,0,0,1.1,1.8,63.8,7.1,1,0.3,1.2,0.9,6,0,15.72,159,2008-2009
GeraldWallace,Charlotte Bobcats,9500000,SF,71,37.6,16.6,5.5,11.4,48,0.5,1.8,29.8,5.1,6.4,80.4,7.8,2.7,1.7,0.9,2.1,20,0,18.64,42,2008-2009
GrantHill,Phoenix Suns,1976400,SF,82,29.8,12,4.8,9.1,52.3,0.3,0.9,31.6,2.2,2.7,80.8,4.9,2.3,1.1,0.7,1.5,5,0,15.26,77,2008-2009
HakimWarrick,Memphis Grizzlies,2119102,PF,82,24.7,11.6,4.1,8.5,49.1,0.1,0.3,21.7,3.2,4.6,71.1,5,0.8,0.6,0.5,1.2,5,0,16.91,84,2008-2009
HedoTurkoglu,Orlando Magic,6864200,SF,77,36.6,16.8,5.5,13.3,41.3,1.7,4.9,35.6,4.1,5.1,80.7,5.3,4.9,0.8,0.2,2.6,4,0,14.82,40,2008-2009
JarrettJack,Indiana Pacers,2002623,G,82,33.1,13.1,4.7,10.4,45.3,1,2.7,35.3,2.7,3.2,85.2,3.4,4.1,1.1,0.2,2.2,0,0,13.1,70,2008-2009
JasonKapono,Toronto Raptors,5784480,SG,80,22.9,8.2,3.3,7.6,43.2,1.2,2.9,42.8,0.4,0.5,81,2,1.3,0.3,0,0.9,0,0,8.97,129,2008-2009
JasonKidd,Dallas Mavericks,21372000,PG,81,35.6,9,3.2,7.6,41.6,1.6,4,40.6,1.1,1.3,81.9,6.2,8.7,2,0.5,2.3,19,3,16.95,116,2008-2009
JasonMaxiell,Detroit Pistons,1877572,PF,78,18.1,5.8,2.4,4.1,57.5,0,0,0,1.1,2,53.2,4.2,0.3,0.3,0.8,0.6,2,0,15.88,156,2008-2009
JasonRichardson,Charlotte Bobcats,12222221,SG,72,33.5,16.8,6.5,13.5,47.7,1.8,4.5,39.7,2.1,2.8,76.9,4.4,2,1.1,0.4,1.3,1,0,16.72,38,2008-2009
JasonTerry,Dallas Mavericks,9196000,G,74,33.7,19.6,7.3,15.8,46.3,2.3,6.2,36.6,2.7,3,88,2.4,3.4,1.3,0.3,1.6,0,0,19.35,23,2008-2009
JasonThompson,Sacramento Kings,1893840,PF,82,28.1,11.1,4.3,8.7,49.7,0,0.1,0,2.4,3.5,69.2,7.4,1.1,0.6,0.7,1.8,17,0,13.96,92,2008-2009
JeffFoster,Indiana Pacers,5500000,PF,74,24.7,6.1,2.4,4.8,50.1,0,0.1,28.6,1.3,2,65.8,6.9,1.8,0.7,0.7,1.2,5,0,13,154,2008-2009
JeffGreen,Oklahoma City Thunder,3287640,SF,78,36.8,16.5,6.1,13.7,44.6,1.2,3.2,38.9,3.1,3.9,78.8,6.7,2,1,0.4,2.2,13,0,13.99,43,2008-2009
JoakimNoah,Chicago Bulls,2295480,C,80,24.2,6.7,2.6,4.7,55.6,0,0,0,1.5,2.3,67.6,7.6,1.3,0.6,1.4,1,10,0,16.57,149,2008-2009
JoeJohnson,Atlanta Hawks,14232567,G,79,39.5,21.4,7.8,18,43.7,1.9,5.2,36,3.8,4.6,82.6,4.4,5.8,1.1,0.2,2.5,4,1,18.26,13,2008-2009
